Date,State,Positive,Negative,Pending,HospitalizedCurrently,HospitalizedCumulative,InICUcurrently,InICUcumulative,OnVentilatorCurrently,OnVentilatorCumulative,Recovered,Deaths,DataQualityGrade,LastUpdateET
20200514,DE,"7,223","29,634",,273,,,,,,3080,260,B,5/13/2020 18:00
20200514,FL,"43,210","565,627","1,228",472,"7,993",232,,,,,1948,A+,5/14/2020 12:33
20200514,GA,"35,858","250,023",,,"6,345",,1513,,,,1527,A+,5/14/2020 13:30
20200514,GU,153,"4,226",,,,,,,,124,5,C,5/14/2020 05:45
20200514,HI,638,"38,243",,,81,,,,,563,17,B,5/13/2020 18:00
20200514,IA,"13,675","75,619",,405,,134,,93,,6231,318,A+,5/13/2020 00:00
20200514,ID,"2,324","31,430",,,212,,88,,,1557,69,B,5/13/2020 19:00
20200514,IL,"87,937","424,100",,"4,473",,"1,132",,689,,,3928,A,5/14/2020 00:00
20200514,IN,"26,053","134,186",,"1,381","4,389",488,990,217,,,1646,A+,5/13/2020 23:59
20200514,KS,"7,468","50,160",,,704,,238,,108,422,164,A,5/13/2020 10:00
20200514,KY,"7,080","110,315",,377,"1,835",215,784,,,2649,326,A+,5/13/2020 17:00
20200514,LA,"33,489","214,099",,"1,193",,,,140,,22608,2417,B,5/14/2020 13:00
20200514,MA,"80,497","329,535",,"3,101","8,032",794,,,,,5315,A+,5/13/2020 10:00
20200514,MD,"35,903","142,551",,"1,538","6,553",569,,,,2569,1866,,5/14/2020 10:00
20200514,ME,"1,565","22,092",,37,207,18,,7,,958,69,B,5/14/2020 12:30
20200514,MI,"49,582","286,301",,"1,330",,653,,515,,22686,4787,A+,5/14/2020 11:00
20200514,MN,"13,435","115,317",,498,"1,915",203,663,,,8473,663,A+,5/13/2020 17:00
20200514,MO,"10,317","116,793",,796,,,,115,,,562,B,5/14/2020 15:00
20200514,MP,19,"3,306",,,,,,,,12,2,D,5/14/2020 00:00
20200514,MS,"10,483","94,843",,589,"1,667",131,,72,,6268,480,A,5/13/2020 19:00
20200514,MT,462,"24,087",,3,63,,,,,431,16,B,5/14/2020 00:00
20200514,NC,"16,507","202,761",,507,,,,,,9115,615,A,5/14/2020 11:00
20200514,ND,"1,647","48,599",,38,129,,,,,1007,40,C,5/14/2020 13:00
20200514,NE,"9,075","44,266",,,,,,,,,107,C,5/13/2020 20:00
20200514,NH,"3,299","35,876",735,126,326,,97,,,1236,150,B,5/13/2020 09:00
20200514,NJ,"142,704","308,992",,"3,958",,"1,157",,898,,15642,9946,A+,5/14/2020 13:00
20200514,NM,"5,364","109,647",,200,886,,,,,1515,231,C,5/13/2020 20:20
20200514,NV,"6,499","62,985",,515,,126,,75,,244,331,B,5/14/2020 12:00
20200514,NY,"343,051","955,706",,"6,706","74,433","2,223",,1846,,59758,22170,A,5/14/2020 00:00
20200514,OH,"26,357","206,995",,953,"4,718",360,1268,253,,,1534,B,5/14/2020 14:00
20200514,OK,"4,962","107,221",,217,858,102,,,,3660,284,A+,5/14/2020 00:00
20200514,OR,"3,479","80,571",,163,685,38,,17,,1406,137,A+,5/14/2020 11:00
20200514,PA,"59,636","251,559",,"1,983",,,,446,,,4218,C,5/14/2020 00:00
20200514,PR,"2,427",,,159,,18,,5,,,117,B,5/14/2020 06:30
20200514,RI,"12,016","89,585",,271,"1,351",65,,42,,903,468,A+,5/14/2020 12:00
20200514,SC,"8,189","94,346",,,"1,338",,,,,4914,371,A,5/14/2020 15:34
20200514,SD,"3,792","22,681",,85,290,,,,,2437,43,B,5/13/2020 18:00
20200514,TN,"16,699","285,618",,,"1,435",,,,,8881,287,A,5/14/2020 15:00
20200514,TX,"43,851","579,433",,"1,648",,,,,,24487,1216,A,5/14/2020 16:30
20200514,UT,"6,749","153,370",,142,558,,187,,83,3566,75,B,5/14/2020 10:07
20200514,VA,"27,813","139,017",496,"1,533","5,211",355,,201,,3678,955,A+,5/13/2020 17:00
20200514,VI,69,"1,164",45,,,,,,,61,6,C,5/13/2020 17:44
20200514,VT,932,"21,573",,18,,,,,,792,53,B,5/14/2020 00:00
20200514,WA,"17,512","243,568",,365,,111,,,,,975,A,5/13/2020 02:59
20200514,WI,"11,275","122,598",169,507,"1,939",121,478,,,5994,434,A+,5/14/2020 00:00
20200514,WV,"1,427","67,286",,52,,9,,5,,870,60,B,5/14/2020 10:00
20200514,WY,701,"14,729",,8,67,,,,,480,7,B,5/14/2020 00:00
20200513,AK,383,"30,266",,12,,,,,,338,10,B,5/13/2020 00:00
20200513,AL,"10,617","125,755",,,"1,317",,477,,284,,449,B,5/13/2020 00:00
20200513,AR,"4,164","69,051",,59,497,,,12,99,3220,95,A,05-12-20 18:33
20200513,AS,0,105,,,,,,,,,0,C,05-10-20 00:00
20200513,AZ,"12,176","115,574",,755,"1,590",292,,191,,2979,594,A+,5/13/2020 00:00
20200513,CA,"71,141","994,451",,"4,545",,"1,314",,,,,2934,B,5/13/2020 00:00
20200513,CO,"20,157","91,093",,688,"3,695",,,,,3171,1009,A,5/13/2020 00:00
20200513,CT,"34,855","108,088",,"1,158","9,389",,,,,5413,3125,B,5/13/2020 14:00
20200513,DC,"6,584","25,074",,423,,,,82,,934,350,A,05-12-20 00:00
20200513,DE,"6,952","27,801",,282,,,,,,2942,247,B,05-12-20 18:00
20200513,FL,"42,402","552,361","1,191",,"7,835",,,,,,1898,A+,5/13/2020 09:43
20200513,GA,"35,332","238,572",,,"6,259",,1494,,,,1505,A+,5/13/2020 13:25
20200513,GU,152,"4,110",,,,,,,,124,5,C,5/13/2020 07:55
20200513,HI,635,"37,730",,,81,,,,,563,17,B,05-12-20 18:00
20200513,IA,"13,289","72,430",,388,,133,,101,,5954,306,A+,05-12-20 00:00
20200513,ID,"2,293","30,835",,,214,,88,,,1536,69,B,05-12-20 19:00
20200513,IL,"84,698","404,661",,"4,563",,"1,208",,714,,,3792,A,5/13/2020 00:00
20200513,IN,"25,473","128,610",,"1,336","4,389",481,990,217,,,1619,A+,05-12-20 23:59
20200513,KS,"7,468","50,160",,,704,,238,,108,422,164,A,5/13/2020 10:00
20200513,KY,"6,853","103,781",,379,"1,825",215,783,,,2546,321,A+,05-12-20 17:00
20200513,LA,"32,662","205,242",,"1,194",,,,147,,22608,2381,B,5/13/2020 13:00
20200513,MA,"80,497","329,535",,"3,101","8,032",794,,,,,5315,A+,5/13/2020 10:00
20200513,MD,"34,812","138,762",,"1,550","6,404",572,,,,2456,1809,,5/13/2020 10:00
20200513,ME,"1,515","22,092",,41,204,20,,7,,943,66,B,5/13/2020 12:30
20200513,MI,"48,391","259,869",,"1,384",,693,,525,,22686,4714,A+,5/13/2020 11:00
20200513,MN,"12,917","109,118",,494,"1,851",199,647,,,8149,638,A+,05-12-20 17:00
20200513,MO,"10,142","114,000",,771,,,,129,,,542,B,5/13/2020 15:00
20200513,MP,19,"3,021",,,,,,,,12,2,D,5/13/2020 00:00
20200513,MS,"10,090","89,958",,604,"1,616",150,,79,,6268,465,A,05-12-20 19:00
20200513,MT,462,"23,390",,3,63,,,,,430,16,B,5/13/2020 00:00
20200513,NC,"15,816","194,641",,521,,,,,,9115,597,A,5/13/2020 10:40
20200513,ND,"1,647","47,298",,37,127,,,,,969,40,C,5/13/2020 13:00
20200513,NE,"8,692","41,033",,192,,81,,56,,,103,B,05-12-20 20:00
20200513,NH,"3,239","33,977",51,121,319,,97,,,1234,142,B,05-12-20 09:00
20200513,NJ,"141,560","299,890",,"4,226",,"1,226",,928,,15642,9702,A+,5/13/2020 13:00
20200513,NM,"5,212","105,077",,199,886,,,,,1434,219,C,05-12-20 18:05
20200513,NV,"6,394","60,278",,522,,121,,64,,198,321,B,5/13/2020 12:30
20200513,NY,"340,661","918,246",,"6,946","73,963","2,308",,1908,,59193,22013,A,5/13/2020 00:00
20200513,OH,"25,721","200,133",,924,"4,618",353,1248,244,,,1483,B,5/13/2020 14:00
20200513,OK,"4,852","104,275",,218,848,93,,,,3559,278,A+,5/13/2020 00:00
20200513,OR,"3,416","80,571",,162,678,38,,17,,1406,134,A+,5/13/2020 11:00
20200513,PA,"58,698","244,171",,"2,012",,,,473,,,3943,C,5/13/2020 00:00
20200513,PR,"2,329",,,,,10,,6,,,115,C,05-12-20 06:30
20200513,RI,"11,835","86,087",,269,"1,328",68,,48,,886,462,A+,5/13/2020 12:00
20200513,SC,"7,927","85,213",,,"1,338",,,,,6817,355,A,05-12-20 16:14
20200513,SD,"3,732","22,112",,79,281,,,,,2367,39,B,5/13/2020 11:30
20200513,TN,"16,370","276,547",,,"1,388",,,,,8624,273,A,5/13/2020 15:00
20200513,TX,"42,403","545,028",,"1,676",,,,,,23519,1158,A,5/13/2020 16:20
20200513,UT,"6,620","150,166",,158,553,,182,,81,3406,75,B,5/13/2020 15:00
20200513,VA,"26,746","134,646",485,"1,526","5,080",374,,202,,3554,927,A+,05-12-20 17:00
20200513,VI,69,"1,128",62,,,,,,,61,6,C,05-12-20 18:22
20200513,VT,929,"20,747",,17,,,,,,789,53,B,5/13/2020 00:00
20200513,WA,"17,330","238,991",,384,,114,,,,,962,A,05-12-20 02:59
20200513,WI,"10,902","117,111",194,527,"1,908",110,469,,,5673,421,A+,5/13/2020 00:00
20200513,WV,"1,398","65,282",,58,,11,,6,,813,58,B,5/13/2020 10:00
20200513,WY,675,"14,384",,10,67,,,,,477,7,B,05-12-20 15:50
20200512,AK,383,"29,578",,10,,,,,,334,10,B,05-12-20 00:00
20200512,AL,"10,310","122,908",,,"1,287",,468,,280,,429,B,05-12-20 00:00
20200512,AR,"4,164","66,280",,59,485,,,12,98,3220,95,A,05-11-20 18:55
20200512,AS,0,105,,,,,,,,,0,C,05-10-20 00:00
20200512,AZ,"11,736","111,106",,765,"1,564",318,,204,,2909,562,A+,05-12-20 00:00
20200512,CA,"69,382","963,988",,"4,544",,"1,349",,,,,2847,B,05-12-20 00:00
20200512,CO,"19,879","88,778",,738,"3,663",,,,,3114,987,A,05-11-20 00:00
20200512,CT,"34,333","104,091",,"1,189","9,389",,,,,5413,3041,B,05-12-20 14:00
20200512,DC,"6,485","24,565",,416,,,,82,,886,336,A,05-11-20 00:00
20200512,DE,"6,741","26,550",,276,,,,,,2802,237,B,05-11-20 18:00
20200512,FL,"41,923","537,681","1,064",,"7,654",,,,,,1849,A+,05-12-20 09:28
20200512,GA,"34,635","227,544",,,"6,130",,1443,,,,1461,A+,05-11-20 13:00
20200512,GU,152,"3,939",,,,,,,,124,5,C,05-11-20 18:00
20200512,HI,634,"37,305",,,81,,,,,561,17,B,05-11-20 18:00
20200512,IA,"12,912","68,376",,385,,143,,101,,5618,289,A+,05-12-20 00:00
20200512,ID,"2,260","30,445",,,210,,87,,,1508,70,B,05-11-20 19:00
20200512,IL,"83,021","388,670",,"4,626",,"1,215",,730,,,3601,A,05-12-20 00:00
20200512,IN,"25,127","125,383",,"1,283","4,389",472,,212,,,1578,A+,05-11-20 23:59
20200512,KS,"7,116","46,993",,,660,,233,,101,376,158,A,05-11-20 10:00
20200512,KY,"6,677","97,347",,383,"1,767",220,768,,,2335,311,A+,05-11-20 17:00
20200512,LA,"32,050","195,962",,"1,320",,,,146,,22608,2347,B,05-12-20 13:00
20200512,MA,"79,332","322,164",,"3,127","7,842",818,,,,,5141,A+,05-12-20 10:00
20200512,MD,"34,061","135,442",,"1,563","6,287",590,,,,2394,1756,,05-12-20 10:00
20200512,ME,"1,477","22,092",,34,202,17,,8,,913,65,B,05-12-20 12:30
20200512,MI,"48,021","259,869",,"1,384",,693,,525,,22686,4674,A+,05-12-20 11:00
20200512,MN,"12,494","108,340",,496,"1,799",199,625,,,7609,614,A,05-11-20 17:00
20200512,MO,"10,006","111,290",,787,,,,140,,,524,B,05-12-20 15:00
20200512,MP,19,"2,854",,,,,,,,12,2,D,05-12-20 00:00
20200512,MS,"9,908","87,784",,604,"1,582",146,,75,,6268,457,A,05-11-20 19:00
20200512,MT,461,"22,574",,4,63,,,,,425,16,B,05-12-20 00:00
20200512,NC,"15,346","186,898",,475,,,,,,9115,577,A,05-12-20 11:00
20200512,ND,"1,571","46,261",,38,122,,,,,877,38,C,05-12-20 12:10
20200512,NE,"8,572","39,371",,192,,81,,56,,,100,B,05-11-20 20:05
20200512,NH,"3,160","32,401",54,117,318,,97,,,1231,133,B,05-11-20 09:00
20200512,NJ,"140,743","292,317",,"4,328",,"1,306",,982,,15642,9508,A+,05-12-20 13:00
20200512,NM,"5,069","101,652",,207,886,,,,,1300,208,C,05-11-20 22:33
20200512,NV,"6,311","57,764",,522,,121,,64,,185,312,C,05-12-20 12:30
20200512,NY,"338,485","886,628",,"7,063","73,143","2,375",,1964,,58679,21845,A,05-12-20 00:00
20200512,OH,"25,250","192,481",,"1,032","4,539",401,1232,270,,,1436,B,05-12-20 14:00
20200512,OK,"4,732","91,379",,190,828,83,,,,3423,278,A+,05-12-20 00:00
20200512,OR,"3,286","74,320",,165,673,39,,25,,1125,130,A+,05-12-20 11:52
20200512,PA,"57,991","237,989",,"2,187",,,,497,,,3806,C,05-12-20 12:00
20200512,PR,"2,299",,,,,,,,,,114,C,05-12-20 06:30
20200512,RI,"11,614","83,625",,277,"1,307",72,,53,,863,444,A+,05-12-20 12:00
20200512,SC,"7,927","85,213",,,"1,338",,,,,6817,355,A,05-12-20 16:14
20200512,SD,"3,663","21,534",,74,271,,,,,2309,39,B,05-12-20 11:30
20200512,TN,"16,111","267,713",,,"1,363",,,,,8336,265,A,05-12-20 16:00
20200512,TX,"41,048","497,124",,"1,725",,,,,,22674,1133,A,05-11-20 16:25
20200512,UT,"6,432","147,053",,166,535,,178,,80,3267,73,B,05-12-20 15:00
20200512,VA,"25,800","129,529",447,"1,529","4,929",364,,201,,3400,891,A+,05-12-20 09:00
20200512,VI,69,"1,115",58,,,,,,,61,6,C,05-12-20 14:19
20200512,VT,927,"20,335",,18,,,,,,787,53,B,05-12-20 00:00
20200512,WA,"17,122","234,986",,321,,94,,,,,945,A,05-11-20 02:59
20200512,WI,"10,611","112,748",180,520,"1,877",116,464,,,5371,418,A+,05-12-20 12:23
20200512,WV,"1,371","63,698",,50,,9,,5,,803,57,C,05-12-20 10:00
20200512,WY,675,"14,384",,10,67,,,,,477,7,B,05-12-20 15:50
20200511,AK,381,"28,299",,7,,,,,,328,10,C,05-11-20 00:00
20200511,AL,"10,009","119,435",,,"1,256",,463,,276,,401,B,05-11-20 00:00
20200511,AR,"4,034","64,996",,61,480,,,11,98,3149,94,A,05-10-20 19:05
20200511,AS,0,105,,,,,,,,,0,D,05-10-20 00:00
20200511,AZ,"11,380","105,084",,717,"1,537",297,,201,,2852,542,A+,05-11-20 00:00
20200511,CA,"67,939","923,958",,"4,549",,"1,329",,,,,2770,B,05-11-20 00:00
20200511,CO,"19,899","88,891",,573,"3,689",,,,,3076,981,B,05-10-20 00:00
20200511,CT,"33,765","98,743",,"1,212","9,389",,,,,5413,3008,B,05-11-20 14:00
20200511,DC,"6,389","23,872",,416,,,,82,,881,328,A,05-10-20 00:00
20200511,DE,"6,565","25,363",,275,,,,,,2619,225,B,05-10-20 18:00
20200511,FL,"40,982","520,075","1,080",,"7,458",,,,,,1805,B,05-11-20 09:31
20200511,GA,"33,927","217,361",,,"6,015",,1414,,,,1441,A,05-11-20 13:00
20200511,GU,151,"3,838",,,,,,,,124,5,C,05-11-20 06:45
20200511,HI,632,"37,051",,,81,,,,,561,17,B,05-10-20 18:00
