"Date","CountryCode","CountryName","PopulationReleased"
2020-02-29,"COD","Democratic Republic of Congo",0
2020-03-01,"COD","Democratic Republic of Congo",0
2020-03-02,"COD","Democratic Republic of Congo",0
2020-03-03,"COD","Democratic Republic of Congo",0
2020-03-04,"COD","Democratic Republic of Congo",0
2020-03-05,"COD","Democratic Republic of Congo",0
2020-03-06,"COD","Democratic Republic of Congo",0
2020-03-07,"COD","Democratic Republic of Congo",0
2020-03-08,"COD","Democratic Republic of Congo",0
2020-03-09,"COD","Democratic Republic of Congo",0
2020-03-10,"COD","Democratic Republic of Congo",0
2020-03-11,"COD","Democratic Republic of Congo",0
2020-03-12,"COD","Democratic Republic of Congo",0
2020-03-13,"COD","Democratic Republic of Congo",0
2020-03-14,"COD","Democratic Republic of Congo",0
2020-03-15,"COD","Democratic Republic of Congo",0
2020-03-16,"COD","Democratic Republic of Congo",0
2020-03-17,"COD","Democratic Republic of Congo",0
2020-03-18,"COD","Democratic Republic of Congo",0
2020-03-19,"COD","Democratic Republic of Congo",0
2020-03-20,"COD","Democratic Republic of Congo",0
2020-03-21,"COD","Democratic Republic of Congo",0
2020-03-22,"COD","Democratic Republic of Congo",0
2020-03-23,"COD","Democratic Republic of Congo",0
2020-03-24,"COD","Democratic Republic of Congo",0
2020-03-25,"COD","Democratic Republic of Congo",0
2020-03-26,"COD","Democratic Republic of Congo",0
2020-03-27,"COD","Democratic Republic of Congo",0
2020-03-28,"COD","Democratic Republic of Congo",0
2020-03-29,"COD","Democratic Republic of Congo",0
2020-03-30,"COD","Democratic Republic of Congo",0
2020-03-31,"COD","Democratic Republic of Congo",0
2020-04-01,"COD","Democratic Republic of Congo",0
2020-04-02,"COD","Democratic Republic of Congo",0
2020-04-03,"COD","Democratic Republic of Congo",0
2020-04-04,"COD","Democratic Republic of Congo",0
2020-04-05,"COD","Democratic Republic of Congo",0
2020-04-06,"COD","Democratic Republic of Congo",0
2020-04-07,"COD","Democratic Republic of Congo",0
2020-04-08,"COD","Democratic Republic of Congo",0
2020-04-09,"COD","Democratic Republic of Congo",0
2020-04-10,"COD","Democratic Republic of Congo",0
2020-04-11,"COD","Democratic Republic of Congo",0
2020-04-12,"COD","Democratic Republic of Congo",0
2020-04-13,"COD","Democratic Republic of Congo",0
2020-04-14,"COD","Democratic Republic of Congo",0
2020-01-01,"DNK","Denmark",0
2020-01-02,"DNK","Denmark",0
2020-01-03,"DNK","Denmark",0
2020-01-04,"DNK","Denmark",0
2020-01-05,"DNK","Denmark",0
2020-01-06,"DNK","Denmark",0
2020-01-07,"DNK","Denmark",0
2020-01-08,"DNK","Denmark",0
2020-01-09,"DNK","Denmark",0
2020-01-10,"DNK","Denmark",0
2020-01-11,"DNK","Denmark",0
2020-01-12,"DNK","Denmark",0
2020-01-13,"DNK","Denmark",0
2020-01-14,"DNK","Denmark",0
2020-01-15,"DNK","Denmark",0
2020-01-16,"DNK","Denmark",0
2020-01-17,"DNK","Denmark",0
2020-01-18,"DNK","Denmark",0
2020-01-19,"DNK","Denmark",0
2020-01-20,"DNK","Denmark",0
2020-01-21,"DNK","Denmark",0
2020-01-22,"DNK","Denmark",0
2020-01-23,"DNK","Denmark",0
2020-01-24,"DNK","Denmark",0
2020-01-25,"DNK","Denmark",0
2020-01-26,"DNK","Denmark",0
2020-01-27,"DNK","Denmark",0
2020-01-28,"DNK","Denmark",0
2020-01-29,"DNK","Denmark",0
2020-01-30,"DNK","Denmark",0
2020-01-31,"DNK","Denmark",0
2020-02-01,"DNK","Denmark",0
2020-02-02,"DNK","Denmark",0
2020-02-03,"DNK","Denmark",0
2020-02-04,"DNK","Denmark",0
2020-02-05,"DNK","Denmark",0
2020-02-06,"DNK","Denmark",0
2020-02-07,"DNK","Denmark",0
2020-02-08,"DNK","Denmark",0
2020-02-09,"DNK","Denmark",0
2020-02-10,"DNK","Denmark",0
2020-02-11,"DNK","Denmark",0
2020-02-12,"DNK","Denmark",0
2020-02-13,"DNK","Denmark",0
2020-02-14,"DNK","Denmark",0
2020-02-15,"DNK","Denmark",0
2020-02-16,"DNK","Denmark",0
2020-02-17,"DNK","Denmark",0
2020-02-18,"DNK","Denmark",0
2020-02-19,"DNK","Denmark",0
2020-02-20,"DNK","Denmark",0
2020-02-21,"DNK","Denmark",0
2020-02-22,"DNK","Denmark",0
2020-02-23,"DNK","Denmark",0
2020-02-24,"DNK","Denmark",0
2020-02-25,"DNK","Denmark",0
2020-02-26,"DNK","Denmark",0
2020-02-27,"DNK","Denmark",0
2020-02-28,"DNK","Denmark",0
2020-02-29,"DNK","Denmark",0
2020-03-01,"DNK","Denmark",0
2020-03-02,"DNK","Denmark",0
2020-03-03,"DNK","Denmark",0
2020-03-04,"DNK","Denmark",0
2020-03-05,"DNK","Denmark",0
2020-03-06,"DNK","Denmark",0
2020-03-07,"DNK","Denmark",0
2020-03-08,"DNK","Denmark",0
2020-03-09,"DNK","Denmark",0
2020-03-10,"DNK","Denmark",0
2020-03-11,"DNK","Denmark",0
2020-03-12,"DNK","Denmark",0
2020-03-13,"DNK","Denmark",0
2020-03-14,"DNK","Denmark",0
2020-03-15,"DNK","Denmark",0
2020-03-16,"DNK","Denmark",0
2020-03-17,"DNK","Denmark",0
2020-03-18,"DNK","Denmark",0
2020-03-19,"DNK","Denmark",0
2020-03-20,"DNK","Denmark",0
2020-03-21,"DNK","Denmark",0
2020-03-22,"DNK","Denmark",0
2020-03-23,"DNK","Denmark",0
2020-03-24,"DNK","Denmark",0
2020-03-25,"DNK","Denmark",0
2020-03-26,"DNK","Denmark",0
2020-03-27,"DNK","Denmark",0
2020-03-28,"DNK","Denmark",0
2020-03-29,"DNK","Denmark",0
2020-03-30,"DNK","Denmark",0
2020-03-31,"DNK","Denmark",0
2020-04-01,"DNK","Denmark",0
2020-04-02,"DNK","Denmark",0
2020-04-03,"DNK","Denmark",0
2020-04-04,"DNK","Denmark",0
2020-04-05,"DNK","Denmark",0
2020-04-06,"DNK","Denmark",0
2020-04-07,"DNK","Denmark",0
2020-04-08,"DNK","Denmark",0
2020-04-09,"DNK","Denmark",0
2020-04-10,"DNK","Denmark",0
2020-04-11,"DNK","Denmark",0
2020-04-12,"DNK","Denmark",0
2020-04-13,"DNK","Denmark",0
2020-04-14,"DNK","Denmark",0
2020-01-01,"DJI","Djibouti",0
2020-01-02,"DJI","Djibouti",0
2020-01-03,"DJI","Djibouti",0
2020-01-04,"DJI","Djibouti",0
2020-01-05,"DJI","Djibouti",0
2020-01-06,"DJI","Djibouti",0
2020-01-07,"DJI","Djibouti",0
2020-01-08,"DJI","Djibouti",0
2020-01-09,"DJI","Djibouti",0
2020-01-10,"DJI","Djibouti",0
2020-01-11,"DJI","Djibouti",0
2020-01-12,"DJI","Djibouti",0
2020-01-13,"DJI","Djibouti",0
2020-01-14,"DJI","Djibouti",0
2020-01-15,"DJI","Djibouti",0
2020-01-16,"DJI","Djibouti",0
2020-01-17,"DJI","Djibouti",0
2020-01-18,"DJI","Djibouti",0
2020-01-19,"DJI","Djibouti",0
2020-01-20,"DJI","Djibouti",0
2020-01-21,"DJI","Djibouti",0
2020-01-22,"DJI","Djibouti",0
2020-01-23,"DJI","Djibouti",0
2020-01-24,"DJI","Djibouti",0
2020-01-25,"DJI","Djibouti",0
2020-01-26,"DJI","Djibouti",0
2020-01-27,"DJI","Djibouti",0
2020-01-28,"DJI","Djibouti",0
2020-01-29,"DJI","Djibouti",0
2020-01-30,"DJI","Djibouti",0
2020-01-31,"DJI","Djibouti",0
2020-02-01,"DJI","Djibouti",0
2020-02-02,"DJI","Djibouti",0
2020-02-03,"DJI","Djibouti",0
2020-02-04,"DJI","Djibouti",0
2020-02-05,"DJI","Djibouti",0
2020-02-06,"DJI","Djibouti",0
2020-02-07,"DJI","Djibouti",0
2020-02-08,"DJI","Djibouti",0
2020-02-09,"DJI","Djibouti",0
2020-02-10,"DJI","Djibouti",0
2020-02-11,"DJI","Djibouti",0
2020-02-12,"DJI","Djibouti",0
2020-02-13,"DJI","Djibouti",0
2020-02-14,"DJI","Djibouti",0
2020-02-15,"DJI","Djibouti",0
2020-02-16,"DJI","Djibouti",0
2020-02-17,"DJI","Djibouti",0
2020-02-18,"DJI","Djibouti",0
2020-02-19,"DJI","Djibouti",0
2020-02-20,"DJI","Djibouti",0
2020-02-21,"DJI","Djibouti",0
2020-02-22,"DJI","Djibouti",0
2020-02-23,"DJI","Djibouti",0
2020-02-24,"DJI","Djibouti",0
2020-02-25,"DJI","Djibouti",0
2020-02-26,"DJI","Djibouti",0
2020-02-27,"DJI","Djibouti",0
2020-02-28,"DJI","Djibouti",0
2020-02-29,"DJI","Djibouti",0
2020-03-01,"DJI","Djibouti",0
2020-03-02,"DJI","Djibouti",0
2020-03-03,"DJI","Djibouti",0
2020-03-04,"DJI","Djibouti",0
2020-03-05,"DJI","Djibouti",0
2020-03-06,"DJI","Djibouti",0
2020-03-07,"DJI","Djibouti",0
2020-03-08,"DJI","Djibouti",0
2020-03-09,"DJI","Djibouti",0
2020-03-10,"DJI","Djibouti",0
2020-03-11,"DJI","Djibouti",0
2020-03-12,"DJI","Djibouti",0
2020-03-13,"DJI","Djibouti",0
2020-03-14,"DJI","Djibouti",0
2020-03-15,"DJI","Djibouti",0
2020-03-16,"DJI","Djibouti",0
2020-03-17,"DJI","Djibouti",0
2020-03-18,"DJI","Djibouti",0
2020-03-19,"DJI","Djibouti",0
2020-03-20,"DJI","Djibouti",0
2020-03-21,"DJI","Djibouti",0
2020-03-22,"DJI","Djibouti",0
2020-03-23,"DJI","Djibouti",0
2020-03-24,"DJI","Djibouti",0
2020-03-25,"DJI","Djibouti",0
2020-03-26,"DJI","Djibouti",0
2020-03-27,"DJI","Djibouti",0
2020-03-28,"DJI","Djibouti",0
2020-03-29,"DJI","Djibouti",0
2020-03-30,"DJI","Djibouti",0
2020-03-31,"DJI","Djibouti",0
2020-04-01,"DJI","Djibouti",0
2020-04-02,"DJI","Djibouti",0
2020-04-03,"DJI","Djibouti",0
2020-04-04,"DJI","Djibouti",0
2020-04-05,"DJI","Djibouti",0
2020-04-06,"DJI","Djibouti",0
2020-04-07,"DJI","Djibouti",0
2020-04-08,"DJI","Djibouti",0
2020-04-09,"DJI","Djibouti",0
2020-04-10,"DJI","Djibouti",0
2020-04-11,"DJI","Djibouti",0
2020-04-12,"DJI","Djibouti",0
2020-04-13,"DJI","Djibouti",0
2020-04-14,"DJI","Djibouti",0
2020-01-01,"DOM","Dominican Republic",0
2020-01-02,"DOM","Dominican Republic",0
2020-01-03,"DOM","Dominican Republic",0
2020-01-04,"DOM","Dominican Republic",0
2020-01-05,"DOM","Dominican Republic",0
2020-01-06,"DOM","Dominican Republic",0
2020-01-07,"DOM","Dominican Republic",0
2020-01-08,"DOM","Dominican Republic",0
2020-01-09,"DOM","Dominican Republic",0
2020-01-10,"DOM","Dominican Republic",0
2020-01-11,"DOM","Dominican Republic",0
2020-01-12,"DOM","Dominican Republic",0
2020-01-13,"DOM","Dominican Republic",0
2020-01-14,"DOM","Dominican Republic",0
2020-01-15,"DOM","Dominican Republic",0
2020-01-16,"DOM","Dominican Republic",0
2020-01-17,"DOM","Dominican Republic",0
2020-01-18,"DOM","Dominican Republic",0
2020-01-19,"DOM","Dominican Republic",0
2020-01-20,"DOM","Dominican Republic",0
2020-01-21,"DOM","Dominican Republic",0
2020-01-22,"DOM","Dominican Republic",0
2020-01-23,"DOM","Dominican Republic",0
2020-01-24,"DOM","Dominican Republic",0
2020-01-25,"DOM","Dominican Republic",0
2020-01-26,"DOM","Dominican Republic",0
2020-01-27,"DOM","Dominican Republic",0
2020-01-28,"DOM","Dominican Republic",0
2020-01-29,"DOM","Dominican Republic",0
2020-01-30,"DOM","Dominican Republic",0
2020-01-31,"DOM","Dominican Republic",0
2020-02-01,"DOM","Dominican Republic",0
2020-02-02,"DOM","Dominican Republic",0
2020-02-03,"DOM","Dominican Republic",0
2020-02-04,"DOM","Dominican Republic",0
2020-02-05,"DOM","Dominican Republic",0
2020-02-06,"DOM","Dominican Republic",0
2020-02-07,"DOM","Dominican Republic",0
2020-02-08,"DOM","Dominican Republic",0
2020-02-09,"DOM","Dominican Republic",0
2020-02-10,"DOM","Dominican Republic",0
2020-02-11,"DOM","Dominican Republic",0
2020-02-12,"DOM","Dominican Republic",0
2020-02-13,"DOM","Dominican Republic",0
2020-02-14,"DOM","Dominican Republic",0
2020-02-15,"DOM","Dominican Republic",0
2020-02-16,"DOM","Dominican Republic",0
2020-02-17,"DOM","Dominican Republic",0
2020-02-18,"DOM","Dominican Republic",0
2020-02-19,"DOM","Dominican Republic",0
2020-02-20,"DOM","Dominican Republic",0
2020-02-21,"DOM","Dominican Republic",0
2020-02-22,"DOM","Dominican Republic",0
2020-02-23,"DOM","Dominican Republic",0
2020-02-24,"DOM","Dominican Republic",0
