"State","Date","Rt","R.lo.05","R.hi.95"
"Florida",2020-04-03,2.46182148870205,2.09523421725464,2.85295112817969
"Florida",2020-04-04,2.34933354276895,2.02807910340919,2.69022176954574
"Florida",2020-04-05,2.09665881001908,1.82324138924784,2.38596356500101
"Florida",2020-04-06,1.94409601806186,1.7048263683829,2.19644131602599
"Florida",2020-04-07,1.90040948416023,1.6827778565134,2.1290626592564
"Florida",2020-04-08,1.49003159571732,1.31169696213125,1.67782821902931
"Florida",2020-04-09,1.46726504730404,1.30168491590704,1.64110198761192
"Florida",2020-04-10,1.47811809127616,1.31985204652753,1.64385195148521
"Florida",2020-04-11,1.36467268381456,1.21886920734672,1.51734032167023
"Florida",2020-04-12,1.1582812152321,1.02941992702208,1.29347258166646
"Florida",2020-04-13,1.06286804590353,0.943498000862744,1.18816059489246
"Florida",2020-04-14,1.24728271934548,1.12017744473992,1.38008232376425
"Florida",2020-04-15,1.19410499950598,1.07120766918229,1.32256557001459
"Florida",2020-04-16,1.18134135519815,1.06119127571242,1.30686314812564
"Florida",2020-04-17,1.28206032408893,1.15912027435785,1.41016867106717
"Georgia",2020-03-28,3.43247519103841,2.70827371761715,4.22756681469603
"Georgia",2020-03-29,2.56317226172248,2.04007414430481,3.13562142434072
"Georgia",2020-03-30,2.12244049353623,1.70876428985039,2.57321294630117
"Georgia",2020-03-31,2.07278541919496,1.70467973679748,2.47070370452119
"Georgia",2020-04-01,2.17912614550318,1.83182675051719,2.55143938620771
"Georgia",2020-04-02,2.10567989403991,1.79079045567725,2.44174693660848
"Georgia",2020-04-03,1.87929704978735,1.6062929788508,2.17009986320954
"Georgia",2020-04-04,1.66956026519915,1.43267224257157,1.92150797925873
"Georgia",2020-04-05,1.35517413718762,1.15670568590196,1.56669482364346
"Georgia",2020-04-06,1.74556239484515,1.53134193181121,1.97145416511181
"Georgia",2020-04-07,1.83672661724939,1.62586354286189,2.05829651771648
"Georgia",2020-04-08,1.64191617981264,1.45341807110643,1.83998550658115
"Georgia",2020-04-09,1.5898637631249,1.4158177541565,1.77231565895694
"Georgia",2020-04-10,1.43551787496572,1.27942628266048,1.59909487928159
"Georgia",2020-04-11,1.27440510120384,1.13457573596626,1.42100394637079
"Georgia",2020-04-12,0.796895658157177,0.691254378677068,0.908783521220594
"Georgia",2020-04-13,0.691910175017863,0.595920326922553,0.793857588711929
"Georgia",2020-04-14,0.785920673563939,0.682762846377365,0.895114225094372
"Georgia",2020-04-15,0.885011326274381,0.772471678569015,1.00391767184372
"Georgia",2020-04-16,1.1058309416191,0.976263379276485,1.24212041554206
"Georgia",2020-04-17,1.40326165129855,1.25461276779345,1.55884607129872
"Illinois",2020-03-31,4.00211760279788,3.32345991789413,4.73304749721285
"Illinois",2020-04-01,3.68272070745873,3.14987354069486,4.25015863996607
"Illinois",2020-04-02,2.79032638040624,2.39889324843465,3.20634360462916
"Illinois",2020-04-03,2.58544712910314,2.26064099578964,2.92839366141167
"Illinois",2020-04-04,2.22661904080618,1.96012583897123,2.50725170555465
"Illinois",2020-04-05,1.99277869854258,1.76625031371277,2.23069014971103
"Illinois",2020-04-06,1.68897823543969,1.49883566839615,1.88857846083537
"Illinois",2020-04-07,1.70383507683825,1.5266950720815,1.88907914356483
"Illinois",2020-04-08,1.88760203552657,1.71199236017515,2.07036461370287
"Illinois",2020-04-09,1.80555716085567,1.64379235010348,1.9736572424859
"Illinois",2020-04-10,1.75088390525291,1.60191221053466,1.90538478435635
"Illinois",2020-04-11,1.70472513957212,1.56715707869489,1.84712626839516
"Illinois",2020-04-12,1.56971270079577,1.4457417786455,1.69794275963217
"Illinois",2020-04-13,1.38931971323877,1.27933752062988,1.50308965580779
"Illinois",2020-04-14,1.25122939472949,1.15194465772522,1.35394183903185
"Illinois",2020-04-15,1.18839030457272,1.09518815850623,1.2847714203601
"Illinois",2020-04-16,1.25979705615419,1.16625035545019,1.35635904644762
"Illinois",2020-04-17,1.17305384492332,1.08465769790603,1.26434291955177
"Indiana",2020-04-02,3.68545950836165,2.89413786920877,4.55576541228429
"Indiana",2020-04-03,3.38278163519811,2.75481242096066,4.06413162443569
"Indiana",2020-04-04,2.89184078469169,2.39596203807767,3.42637841429155
"Indiana",2020-04-05,2.37743933512107,1.98697993828223,2.79694861196234
"Indiana",2020-04-06,1.8373555671538,1.53402690100194,2.16337872495791
"Indiana",2020-04-07,1.78861025509523,1.51645002207766,2.07941901164929
"Indiana",2020-04-08,1.78587596126935,1.5324843144139,2.05537648509865
"Indiana",2020-04-09,1.80648335160675,1.56700505771748,2.06012203039982
"Indiana",2020-04-10,2.02654737078759,1.7878566823335,2.27768977883634
"Indiana",2020-04-11,1.94964954709132,1.73068562664322,2.17947728754477
"Indiana",2020-04-12,1.66328837814256,1.47603793564566,1.85985262521757
"Indiana",2020-04-13,1.25787915933885,1.10691922999596,1.41687172684691
"Indiana",2020-04-14,1.16789921988873,1.03034177965387,1.31263258594231
"Indiana",2020-04-15,1.1306626052672,0.999542541164927,1.26851162970104
"Indiana",2020-04-16,1.01583578789961,0.893923839818757,1.14423471945486
"Indiana",2020-04-17,1.05896984401739,0.935849770976519,1.18842536969429
"Kentucky",2020-04-08,2.27480597819043,1.71723620087936,2.89695045539338
"Kentucky",2020-04-09,2.16905535988617,1.69478671399272,2.6916307309587
"Kentucky",2020-04-10,1.76425254112331,1.37849490710121,2.18930159399375
"Kentucky",2020-04-11,1.49537139898978,1.16840520825876,1.85564079467701
"Kentucky",2020-04-12,1.21347924905577,0.937732456004261,1.51854859248301
"Kentucky",2020-04-13,0.969919389662742,0.734918456161179,1.23178270029946
"Kentucky",2020-04-14,0.972382320444175,0.741987388984769,1.22845686373197
"Kentucky",2020-04-15,0.921094329663782,0.69792317789492,1.16977562539325
"Kentucky",2020-04-16,0.952906242084287,0.72462009821518,1.20695604039108
"Kentucky",2020-04-17,1.06153206285946,0.817859354793546,1.33141262502104
"Louisiana",2020-03-29,2.80428550133167,2.39526035844238,3.24009299799949
"Louisiana",2020-03-30,2.34048487374838,2.02598441384327,2.67385182761194
"Louisiana",2020-03-31,2.2796301594073,2.00454193618467,2.5694411518523
"Louisiana",2020-04-01,2.02711668284524,1.7920371213923,2.27426030981408
"Louisiana",2020-04-02,1.69507643517758,1.49900155009751,1.9011867738604
"Louisiana",2020-04-03,1.76227340188845,1.57715775569273,1.95595012544163
"Louisiana",2020-04-04,1.72930171465716,1.55708125312411,1.90905419983825
"Louisiana",2020-04-05,1.71088439672412,1.54959614799581,1.87883348245315
"Louisiana",2020-04-06,1.41543121742054,1.27753208953466,1.55922436388548
"Louisiana",2020-04-07,1.43458409439715,1.30324523822833,1.57118384990857
"Louisiana",2020-04-08,1.45448684617162,1.32776373296462,1.58603075433716
"Louisiana",2020-04-09,1.30594043414503,1.19049769318741,1.42584158563578
"Louisiana",2020-04-10,1.24967968043236,1.14095577559686,1.36253352246466
"Louisiana",2020-04-11,1.12616660300581,1.02617314491068,1.23003967925051
"Louisiana",2020-04-12,1.07061151636566,0.975409400884616,1.16951307258024
"Louisiana",2020-04-13,0.956736454216249,0.868160618292054,1.04890186994818
"Louisiana",2020-04-14,1.12625540807485,1.03068941884717,1.22535839602699
"Louisiana",2020-04-15,1.24729673373928,1.14676526822594,1.35135561610612
"Louisiana",2020-04-16,1.22569643147148,1.12690593904319,1.32795325403012
"Louisiana",2020-04-17,1.19669698137898,1.10094285252721,1.29578566570569
"Maryland",2020-04-07,2.93765843496207,2.39232052727501,3.52935301028393
"Maryland",2020-04-08,2.54850553767512,2.12102757060682,3.00852233713934
"Maryland",2020-04-09,2.15481480364489,1.80970990644379,2.52490673571978
"Maryland",2020-04-10,2.11614844011636,1.80749302051572,2.44501415433365
"Maryland",2020-04-11,2.07925524049607,1.79889289807394,2.37649799510002
"Maryland",2020-04-12,1.81712697506075,1.57623769845564,2.07226006817435
"Maryland",2020-04-13,1.69511805649434,1.48022249891847,1.92213148338028
"Maryland",2020-04-14,1.66227381030925,1.4633243439132,1.87177903791199
"Maryland",2020-04-15,1.73859663747038,1.54651873034985,1.94004102417005
"Maryland",2020-04-16,1.62386471818346,1.44846574594665,1.80761630878892
"Maryland",2020-04-17,1.43010085614392,1.2749448246915,1.59268001038168
"Massachusetts",2020-04-01,4.07536184820733,3.42267126463427,4.77530995407525
"Massachusetts",2020-04-02,3.4438738165775,2.94358485383804,3.97677956186406
"Massachusetts",2020-04-03,3.03339675184561,2.6365384180231,3.45339471615504
"Massachusetts",2020-04-04,2.55186569110922,2.23779477883599,2.8831000037176
"Massachusetts",2020-04-05,1.99083174826568,1.74720610973559,2.24769081315839
"Massachusetts",2020-04-06,1.61620774436505,1.41898564760499,1.8241106316233
"Massachusetts",2020-04-07,1.8835509312461,1.68610710908852,2.09010606557512
