Entity,Code,Date,DailyChangeInTotalTestsPerK
Bolivia,BOL,21-Apr-20,0.01
Bolivia,BOL,22-Apr-20,0.033
Bolivia,BOL,23-Apr-20,0.016
Bolivia,BOL,24-Apr-20,0.026
Bolivia,BOL,25-Apr-20,0.005
Bolivia,BOL,26-Apr-20,0.037
Bolivia,BOL,27-Apr-20,0.017
Bolivia,BOL,28-Apr-20,0.011
Bolivia,BOL,29-Apr-20,0.025
Bolivia,BOL,30-Apr-20,0.012
Canada,CAN,19-Mar-20,0.026
Canada,CAN,20-Mar-20,0.579
Canada,CAN,21-Mar-20,0.32
Canada,CAN,22-Mar-20,0.263
Canada,CAN,23-Mar-20,0.221
Canada,CAN,24-Mar-20,0.475
Canada,CAN,25-Mar-20,0.453
Canada,CAN,26-Mar-20,0.515
Canada,CAN,27-Mar-20,0.24
Canada,CAN,28-Mar-20,0.359
Canada,CAN,29-Mar-20,0.695
Canada,CAN,30-Mar-20,0.813
Canada,CAN,02-Apr-20,0.297
Canada,CAN,03-Apr-20,0.713
Canada,CAN,04-Apr-20,0.448
Canada,CAN,05-Apr-20,0.606
Canada,CAN,06-Apr-20,0.052
Canada,CAN,07-Apr-20,0.257
Canada,CAN,08-Apr-20,0.338
Canada,CAN,09-Apr-20,0.379
Canada,CAN,10-Apr-20,0.258
Canada,CAN,11-Apr-20,0.483
Canada,CAN,12-Apr-20,0.082
Canada,CAN,13-Apr-20,0.643
Canada,CAN,14-Apr-20,0.578
Canada,CAN,15-Apr-20,0.308
Canada,CAN,16-Apr-20,0.655
Canada,CAN,17-Apr-20,0.422
Canada,CAN,18-Apr-20,0.35
Canada,CAN,19-Apr-20,0.526
Canada,CAN,20-Apr-20,0.516
Canada,CAN,21-Apr-20,0.275
Canada,CAN,22-Apr-20,0.276
Canada,CAN,23-Apr-20,1.159
Canada,CAN,24-Apr-20,0.617
Canada,CAN,25-Apr-20,0.693
Canada,CAN,26-Apr-20,0.586
Canada,CAN,27-Apr-20,0.683
Canada,CAN,28-Apr-20,0.62
Canada,CAN,29-Apr-20,0.465
Canada,CAN,30-Apr-20,0.791
Canada,CAN,01-May-20,0.481
Chile,CHL,02-Apr-20,0.14
Chile,CHL,03-Apr-20,0.178
Chile,CHL,04-Apr-20,0.235
Chile,CHL,05-Apr-20,0.175
Chile,CHL,06-Apr-20,0.152
Chile,CHL,07-Apr-20,0.118
Chile,CHL,08-Apr-20,0.171
Chile,CHL,09-Apr-20,0.417
Chile,CHL,10-Apr-20,0.232
Chile,CHL,11-Apr-20,0.187
Chile,CHL,12-Apr-20,0.308
Chile,CHL,13-Apr-20,0.145
Chile,CHL,14-Apr-20,0.144
Chile,CHL,15-Apr-20,0.213
Chile,CHL,16-Apr-20,0.343
Chile,CHL,17-Apr-20,0.285
Chile,CHL,18-Apr-20,0.262
Chile,CHL,19-Apr-20,0.249
Chile,CHL,20-Apr-20,0.271
Chile,CHL,21-Apr-20,0.185
Chile,CHL,22-Apr-20,0.333
Chile,CHL,23-Apr-20,0.336
Chile,CHL,24-Apr-20,0.372
Chile,CHL,25-Apr-20,0.363
Chile,CHL,26-Apr-20,0.354
Chile,CHL,27-Apr-20,0.275
Chile,CHL,28-Apr-20,0.258
Chile,CHL,29-Apr-20,0.338
Chile,CHL,30-Apr-20,0.413
Colombia,COL,05-Mar-20,0.001
Colombia,COL,06-Mar-20,0.002
Colombia,COL,07-Mar-20,0.001
Colombia,COL,09-Mar-20,0.001
Colombia,COL,10-Mar-20,0.001
Colombia,COL,11-Mar-20,0.004
Colombia,COL,12-Mar-20,0.005
Colombia,COL,13-Mar-20,0.007
Colombia,COL,14-Mar-20,0.004
Colombia,COL,15-Mar-20,0.002
Colombia,COL,16-Mar-20,0.006
Colombia,COL,17-Mar-20,0.002
Colombia,COL,18-Mar-20,0.012
Colombia,COL,19-Mar-20,0.003
Colombia,COL,20-Mar-20,0.021
Colombia,COL,21-Mar-20,0.012
Colombia,COL,22-Mar-20,0.012
Colombia,COL,23-Mar-20,0.023
